[t-SNE] Computing 31 nearest neighbors...
[t-SNE] Indexed 60000 samples in 0.000s...
[t-SNE] Computed neighbors for 60000 samples in 1.077s...
[t-SNE] Computed conditional probabilities for sample 1000 / 60000
[t-SNE] Computed conditional probabilities for sample 2000 / 60000
[t-SNE] Computed conditional probabilities for sample 3000 / 60000
[t-SNE] Computed conditional probabilities for sample 4000 / 60000
[t-SNE] Computed conditional probabilities for sample 5000 / 60000
[t-SNE] Computed conditional probabilities for sample 6000 / 60000
[t-SNE] Computed conditional probabilities for sample 7000 / 60000
[t-SNE] Computed conditional probabilities for sample 8000 / 60000
[t-SNE] Computed conditional probabilities for sample 9000 / 60000
[t-SNE] Computed conditional probabilities for sample 10000 / 60000
[t-SNE] Computed conditional probabilities for sample 11000 / 60000
[t-SNE] Computed conditional probabilities for sample 12000 / 60000
[t-SNE] Computed conditional probabilities for sample 13000 / 60000
[t-SNE] Computed conditional probabilities for sample 14000 / 60000
[t-SNE] Computed conditional probabilities for sample 15000 / 60000
[t-SNE] Computed conditional probabilities for sample 16000 / 60000
[t-SNE] Computed conditional probabilities for sample 17000 / 60000
[t-SNE] Computed conditional probabilities for sample 18000 / 60000
[t-SNE] Computed conditional probabilities for sample 19000 / 60000
[t-SNE] Computed conditional probabilities for sample 20000 / 60000
[t-SNE] Computed conditional probabilities for sample 21000 / 60000
[t-SNE] Computed conditional probabilities for sample 22000 / 60000
[t-SNE] Computed conditional probabilities for sample 23000 / 60000
[t-SNE] Computed conditional probabilities for sample 24000 / 60000
[t-SNE] Computed conditional probabilities for sample 25000 / 60000
[t-SNE] Computed conditional probabilities for sample 26000 / 60000
[t-SNE] Computed conditional probabilities for sample 27000 / 60000
[t-SNE] Computed conditional probabilities for sample 28000 / 60000
[t-SNE] Computed conditional probabilities for sample 29000 / 60000
[t-SNE] Computed conditional probabilities for sample 30000 / 60000
[t-SNE] Computed conditional probabilities for sample 31000 / 60000
[t-SNE] Computed conditional probabilities for sample 32000 / 60000
[t-SNE] Computed conditional probabilities for sample 33000 / 60000
[t-SNE] Computed conditional probabilities for sample 34000 / 60000
[t-SNE] Computed conditional probabilities for sample 35000 / 60000
[t-SNE] Computed conditional probabilities for sample 36000 / 60000
[t-SNE] Computed conditional probabilities for sample 37000 / 60000
[t-SNE] Computed conditional probabilities for sample 38000 / 60000
[t-SNE] Computed conditional probabilities for sample 39000 / 60000
[t-SNE] Computed conditional probabilities for sample 40000 / 60000
[t-SNE] Computed conditional probabilities for sample 41000 / 60000
[t-SNE] Computed conditional probabilities for sample 42000 / 60000
[t-SNE] Computed conditional probabilities for sample 43000 / 60000
[t-SNE] Computed conditional probabilities for sample 44000 / 60000
[t-SNE] Computed conditional probabilities for sample 45000 / 60000
[t-SNE] Computed conditional probabilities for sample 46000 / 60000
[t-SNE] Computed conditional probabilities for sample 47000 / 60000
[t-SNE] Computed conditional probabilities for sample 48000 / 60000
[t-SNE] Computed conditional probabilities for sample 49000 / 60000
[t-SNE] Computed conditional probabilities for sample 50000 / 60000
[t-SNE] Computed conditional probabilities for sample 51000 / 60000
[t-SNE] Computed conditional probabilities for sample 52000 / 60000
[t-SNE] Computed conditional probabilities for sample 53000 / 60000
[t-SNE] Computed conditional probabilities for sample 54000 / 60000
[t-SNE] Computed conditional probabilities for sample 55000 / 60000
[t-SNE] Computed conditional probabilities for sample 56000 / 60000
[t-SNE] Computed conditional probabilities for sample 57000 / 60000
[t-SNE] Computed conditional probabilities for sample 58000 / 60000
[t-SNE] Computed conditional probabilities for sample 59000 / 60000
[t-SNE] Computed conditional probabilities for sample 60000 / 60000
[t-SNE] Mean sigma: 0.501309
[t-SNE] Computed conditional probabilities in 0.200s
[t-SNE] Iteration 50: error = 132.0900879, gradient norm = 0.0017975 (50 iterations in 5.238s)
[t-SNE] Iteration 100: error = 120.6159744, gradient norm = 0.0033092 (50 iterations in 5.493s)
[t-SNE] Iteration 150: error = 118.5255127, gradient norm = 0.0020171 (50 iterations in 4.785s)
[t-SNE] Iteration 200: error = 117.6544800, gradient norm = 0.0012331 (50 iterations in 4.604s)
[t-SNE] Iteration 250: error = 117.3255615, gradient norm = 0.0005077 (50 iterations in 4.796s)
[t-SNE] KL divergence after 250 iterations with early exaggeration: 117.325562
[t-SNE] Iteration 300: error = 5.4991598, gradient norm = 0.0061072 (50 iterations in 4.630s)
[t-SNE] Iteration 350: error = 4.6987181, gradient norm = 0.0060757 (50 iterations in 4.557s)
[t-SNE] Iteration 400: error = 4.2366858, gradient norm = 0.0059025 (50 iterations in 4.610s)
[t-SNE] Iteration 450: error = 3.9339671, gradient norm = 0.0054223 (50 iterations in 4.556s)
[t-SNE] Iteration 500: error = 3.7283869, gradient norm = 0.0047946 (50 iterations in 4.564s)
[t-SNE] Iteration 550: error = 3.5783994, gradient norm = 0.0042799 (50 iterations in 4.577s)
[t-SNE] Iteration 600: error = 3.4622033, gradient norm = 0.0038756 (50 iterations in 4.661s)
[t-SNE] Iteration 650: error = 3.3689823, gradient norm = 0.0035539 (50 iterations in 4.593s)
[t-SNE] Iteration 700: error = 3.2914557, gradient norm = 0.0032988 (50 iterations in 4.539s)
[t-SNE] Iteration 750: error = 3.2256002, gradient norm = 0.0030916 (50 iterations in 4.513s)
[t-SNE] Iteration 800: error = 3.1687150, gradient norm = 0.0028991 (50 iterations in 4.472s)
[t-SNE] Iteration 850: error = 3.1186287, gradient norm = 0.0027466 (50 iterations in 4.717s)
